
Input file name: 0, Key Location is: 185
Input file name: 1, Key Location is: 93
Input file name: 10, Key Location is: 253
Input file name: 11, Key Location is: 73
Input file name: 12, Key Location is: 253
Input file name: 13, Key Location is: 137
Input file name: 14, Key Location is: 249
Input file name: 15, Key Location is: 97
Input file name: 16, Key Location is: 109
Input file name: 17, Key Location is: 73
Input file name: 18, Key Location is: 209
Input file name: 19, Key Location is: 153
Input file name: 2, Key Location is: 197
Input file name: 3, Key Location is: 17
Input file name: 4, Key Location is: 93
Input file name: 5, Key Location is: 225
Input file name: 6, Key Location is: 237
Input file name: 7, Key Location is: 161
Input file name: 8, Key Location is: 165
Input file name: 9, Key Location is: 125

Average Location is 155.2, out of 20 samples
--- Finished in 0.0seconds ---
